task_id,dataset_id,dataset_name,fold,task_type,n_rows,n_features,n_classes,imbalance_ratio,accuracy,f1_macro,f1_micro,precision_macro,recall_macro,roc_auc,log_loss,fit_seconds,predict_seconds,n_train,n_test,seed,pdlc_topk_effective,pdlc_topk_tuned_best_frac,n_valid_folds,error
22,22,mfeat-zernike,7.0,Multiclass,2000,47,10,1.0,0.81,0.8076607013705859,0.81,0.8088107970460913,0.8099999999999999,0.9719444444444443,0.6363153798033213,0.329477870836854,0.3986230902373791,1800.0,200.0,42,32.0,,10,
22,22,mfeat-zernike,8.0,Multiclass,2000,47,10,1.0,0.77,0.7624067276022499,0.77,0.7564110374751107,0.77,0.9610833333333334,0.8294355710744593,0.3272486813366413,0.39782789908349514,1800.0,200.0,42,32.0,,10,
22,22,mfeat-zernike,9.0,Multiclass,2000,47,10,1.0,0.795,0.7902654933142739,0.795,0.7865658464342674,0.795,0.9728333333333333,0.6284713129746585,0.2971687726676464,0.4051261991262436,1800.0,200.0,42,32.0,,10,
23,23,cmc,0.0,Multiclass,1473,9,3,1.8888888888888888,0.5743243243243243,0.558446455505279,0.5743243243243243,0.5862919711459386,0.5490196078431372,0.7850422287441533,0.8486303448228895,0.25124150328338146,0.13848370872437954,1325.0,148.0,42,32.0,,10,
23,23,cmc,1.0,Multiclass,1473,9,3,1.8888888888888888,0.5202702702702703,0.5053783614759224,0.5202702702702703,0.5084323712507074,0.5042016806722689,0.6966113315767014,1.0192433021359244,0.24922512471675873,0.1380639560520649,1325.0,148.0,42,32.0,,10,
23,23,cmc,2.0,Multiclass,1473,9,3,1.8888888888888888,0.49324324324324326,0.467042951213994,0.49324324324324326,0.47101972101972106,0.4657640834111422,0.6474182601237275,1.120831239257939,0.252227945253253,0.13814655132591724,1325.0,148.0,42,32.0,,10,
23,23,cmc,3.0,Multiclass,1473,9,3,1.8888888888888888,0.5170068027210885,0.4901320901320902,0.5170068027210885,0.490205223880597,0.4907902554961378,0.6818096324122419,1.0577472676912818,0.24924141727387905,0.13867875933647156,1326.0,147.0,42,32.0,,10,
23,23,cmc,4.0,Multiclass,1473,9,3,1.8888888888888888,0.5714285714285714,0.555562261923923,0.5714285714285714,0.5719864426760979,0.5491327844269022,0.7641945556354742,0.8880127565359616,0.25096903182566166,0.13913601264357567,1326.0,147.0,42,32.0,,10,
23,23,cmc,5.0,Multiclass,1473,9,3,1.8888888888888888,0.5578231292517006,0.5404108562003299,0.5578231292517006,0.5470899470899471,0.5410406586877176,0.7255026102236041,0.9673609709637393,0.24866029433906078,0.13847923837602139,1326.0,147.0,42,32.0,,10,
23,23,cmc,6.0,Multiclass,1473,9,3,1.8888888888888888,0.5306122448979592,0.515535166020603,0.5306122448979592,0.5164453601953602,0.5147271029623971,0.7380531026871142,0.937159621747803,0.3324876409024,0.13874067179858685,1326.0,147.0,42,32.0,,10,
23,23,cmc,7.0,Multiclass,1473,9,3,1.8888888888888888,0.5034013605442177,0.47625207296849087,0.5034013605442177,0.48216636680754715,0.4743230625583566,0.7114402368691586,1.0000674707875092,0.24823004938662052,0.13872967846691608,1326.0,147.0,42,32.0,,10,
