episode,pair_loss,pdlc_nll,pdlc_acc,prior_nll,auc_head,auc_cos,C,H,T,split,topk,epochs_per_episode,pairs_per_epoch,hard_neg_frac,randomize_variant,warmup,mimic_weight_used,min_anchors_per_class_used,min_queries_per_class,anchor_max_ratio
151,1.596989,0.651189,0.652720,0.645960,0.492356,0.570347,2,14,267,28,0,3,4000,0.5,False,False,0.0,4,1,0.642857
152,1.614389,0.693363,0.507463,0.694378,0.525190,0.479028,2,15,149,15,0,3,4000,0.5,False,False,0.0,4,1,0.533333
153,1.658127,0.611205,0.717172,0.600428,0.497711,0.531588,2,15,166,67,0,3,4000,0.5,False,False,0.0,4,1,0.671642
154,1.658840,0.863758,0.576577,0.867999,0.478298,0.504934,3,12,181,70,0,3,4000,0.5,False,False,0.0,4,1,0.628571
155,2.191779,0.661433,0.642857,0.655635,0.495703,0.511114,2,13,160,90,0,3,4000,0.5,False,False,0.0,4,1,0.6
156,1.546190,1.013322,0.504505,1.026949,0.519817,0.547169,3,15,263,41,0,3,4000,0.5,False,False,0.0,4,1,0.609756
157,1.842763,0.687407,0.563636,0.713884,0.500028,0.607325,2,15,360,305,0,3,4000,0.5,False,False,0.0,4,1,0.678689
158,2.063367,0.852222,0.666667,0.832041,0.524669,0.542798,3,9,156,117,0,3,4000,0.5,False,False,0.0,4,1,0.521368
159,1.727247,0.659395,0.684564,0.636522,0.506881,0.527727,2,15,365,216,0,3,4000,0.5,False,False,0.0,4,1,0.606481
160,1.820654,0.656356,0.683168,0.637520,0.481969,0.492193,2,10,177,76,0,3,4000,0.5,False,False,0.0,4,1,0.605263
161,1.681510,1.115707,0.363636,1.125762,0.510587,0.604935,3,13,199,100,0,3,4000,0.5,False,False,0.0,4,1,0.44
162,1.730926,0.681510,0.580420,0.697777,0.500820,0.504367,2,12,322,179,0,3,4000,0.5,False,False,0.0,4,1,0.670391
163,1.432168,0.677623,0.625000,0.668583,0.486289,0.468712,2,9,132,60,0,3,4000,0.5,False,False,0.0,4,1,0.566667
164,2.047349,0.596492,0.758294,0.568663,0.499030,0.482532,2,8,301,90,0,3,4000,0.5,False,False,0.0,4,1,0.677778
165,1.492663,0.696331,0.479592,0.698099,0.497376,0.513915,2,15,143,45,0,3,4000,0.5,False,False,0.0,4,1,0.533333
166,2.057240,0.694101,0.484848,0.694253,0.490953,0.503820,2,10,189,156,0,3,4000,0.5,False,False,0.0,4,1,0.512821
167,2.037398,0.695430,0.522293,0.705491,0.497671,0.481105,2,10,293,136,0,3,4000,0.5,False,False,0.0,4,1,0.602941
